,s,RT,M,Scenario_Type,R,sex,age,theta,beta,alpha,Q4,Q6,beta_s
0,1,10.381,Text,GENDER,1,0,0,0,0,0,2,2,3
1,1,5.896,Text,GENDER,0,0,0,0,0,0,2,2,3
2,1,4.548,Text,GENDER,0,0,0,0,0,0,2,2,3
3,1,3.531,Text,GENDER,0,0,0,0,0,0,2,2,3
4,1,4.014,Text,GENDER,0,0,0,0,0,0,2,2,3
5,1,2.547,Text,GENDER,1,0,0,0,0,0,2,2,3
6,2,2.699,Text,GENDER,0,1,0,1,1,1,3,1,1
7,2,2.098,Text,GENDER,0,1,0,1,1,1,3,1,1
8,2,4.364,Text,GENDER,0,1,0,1,1,1,3,1,1
9,2,2.631,Text,GENDER,0,1,0,1,1,1,3,1,1
10,2,2.098,Text,GENDER,0,1,0,1,1,1,3,1,1
11,2,5.198,Text,GENDER,0,1,0,1,1,1,3,1,1
12,3,9.73,Text,GENDER,0,1,0,1,1,1,2,1,3
13,3,2.764,Text,GENDER,0,1,0,1,1,1,2,1,3
14,3,4.28,Text,GENDER,0,1,0,1,1,1,2,1,3
15,3,3.481,Text,GENDER,0,1,0,1,1,1,2,1,3
16,3,3.214,Text,GENDER,0,1,0,1,1,1,2,1,3
17,3,3.48,Text,GENDER,0,1,0,1,1,1,2,1,3
18,4,3.931,Text,GENDER,1,0,0,1,1,1,2,3,3
19,4,2.098,Text,GENDER,1,0,0,1,1,1,2,3,3
20,4,2.281,Text,GENDER,0,0,0,1,1,1,2,3,3
21,4,4.047,Text,GENDER,1,0,0,1,1,1,2,3,3
22,4,5.031,Text,GENDER,0,0,0,1,1,1,2,3,3
23,4,2.047,Text,GENDER,0,0,0,1,1,1,2,3,3
24,5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
25,5,6.681,Text,GENDER,1,0,0,0,0,0,1,3,0
26,6,7.148,Text,GENDER,0,0,1,0,0,1,1,3,2
27,6,7.065,Text,GENDER,0,0,1,0,0,1,1,3,2
28,6,4.597,Text,GENDER,0,0,1,0,0,1,1,3,2
29,6,6.248,Text,GENDER,0,0,1,0,0,1,1,3,2
30,6,2.88,Text,GENDER,0,0,1,0,0,1,1,3,2
31,6,2.497,Text,GENDER,0,0,1,0,0,1,1,3,2
32,7,1.714,Text,GENDER,0,1,0,1,1,0,3,1,2
33,7,3.481,Text,GENDER,0,1,0,1,1,0,3,1,2
34,7,5.681,Text,GENDER,1,1,0,1,1,0,3,1,2
35,7,2.631,Text,GENDER,0,1,0,1,1,0,3,1,2
36,7,4.031,Text,GENDER,0,1,0,1,1,0,3,1,2
37,7,2.647,Text,GENDER,0,1,0,1,1,0,3,1,2
38,8,6.216,Text,GENDER,0,0,1,1,1,1,1,1,0
39,8,5.516,Text,GENDER,1,0,1,1,1,1,1,1,0
40,8,3.599,Text,GENDER,0,0,1,1,1,1,1,1,0
41,8,4.733,Text,GENDER,1,0,1,1,1,1,1,1,0
42,8,3.882,Text,GENDER,1,0,1,1,1,1,1,1,0
43,8,6.067,Text,GENDER,0,0,1,1,1,1,1,1,0
44,9,5.065,Text,GENDER,0,1,0,0,0,0,3,2,2
45,9,3.23,Text,GENDER,0,1,0,0,0,0,3,2,2
46,9,3.08,Text,GENDER,0,1,0,0,0,0,3,2,2
47,10,4.698,Text,GENDER,0,0,1,1,1,1,1,2,2
48,10,3.847,Text,GENDER,0,0,1,1,1,1,1,2,2
49,10,3.965,Text,GENDER,0,0,1,1,1,1,1,2,2
50,10,4.131,Text,GENDER,0,0,1,1,1,1,1,2,2
51,10,10.848,Text,GENDER,1,0,1,1,1,1,1,2,2
52,10,3.68,Text,GENDER,1,0,1,1,1,1,1,2,2
53,11,5.231,Text,GENDER,0,1,0,1,1,1,2,2,0
54,11,7.932,Text,GENDER,0,1,0,1,1,1,2,2,0
55,11,7.331,Text,GENDER,0,1,0,1,1,1,2,2,0
56,11,3.781,Text,GENDER,0,1,0,1,1,1,2,2,0
57,11,4.847,Text,GENDER,0,1,0,1,1,1,2,2,0
58,11,3.763,Text,GENDER,0,1,0,1,1,1,2,2,0
59,12,12.398,Text,GENDER,0,1,0,1,1,0,2,1,1
60,12,2.648,Text,GENDER,0,1,0,1,1,0,2,1,1
61,12,3.998,Text,GENDER,0,1,0,1,1,0,2,1,1
62,12,3.247,Text,GENDER,0,1,0,1,1,0,2,1,1
63,12,3.614,Text,GENDER,0,1,0,1,1,0,2,1,1
64,12,1.413,Text,GENDER,0,1,0,1,1,0,2,1,1
65,13,3.648,Text,GENDER,0,1,1,0,0,1,2,2,2
66,13,5.098,Text,GENDER,0,1,1,0,0,1,2,2,2
67,13,5.648,Text,GENDER,0,1,1,0,0,1,2,2,2
68,13,5.248,Text,GENDER,1,1,1,0,0,1,2,2,2
69,13,3.031,Text,GENDER,1,1,1,0,0,1,2,2,2
70,13,1.565,Text,GENDER,1,1,1,0,0,1,2,2,2
71,14,8.165,Text,GENDER,0,1,0,0,0,0,3,1,0
72,14,2.532,Text,GENDER,0,1,0,0,0,0,3,1,0
73,14,4.032,Text,GENDER,0,1,0,0,0,0,3,1,0
74,14,5.432,Text,GENDER,0,1,0,0,0,0,3,1,0
75,14,2.515,Text,GENDER,0,1,0,0,0,0,3,1,0
76,14,3.149,Text,GENDER,0,1,0,0,0,0,3,1,0
77,15,5.064,Text,GENDER,0,1,0,1,1,0,2,2,3
78,15,9.881,Text,GENDER,0,1,0,1,1,0,2,2,3
79,15,3.148,Text,GENDER,0,1,0,1,1,0,2,2,3
80,15,3.064,Text,GENDER,1,1,0,1,1,0,2,2,3
81,15,5.131,Text,GENDER,0,1,0,1,1,0,2,2,3
82,15,3.814,Text,GENDER,0,1,0,1,1,0,2,2,3
83,16,2.897,Text,GENDER,0,1,0,0,0,1,2,1,1
84,16,3.363,Text,GENDER,0,1,0,0,0,1,2,1,1
85,16,4.464,Text,GENDER,0,1,0,0,0,1,2,1,1
86,16,3.364,Text,GENDER,0,1,0,0,0,1,2,1,1
87,16,3.914,Text,GENDER,0,1,0,0,0,1,2,1,1
88,16,3.214,Text,GENDER,0,1,0,0,0,1,2,1,1
89,17,3.131,Text,GENDER,0,0,1,1,1,0,3,1,3
90,17,2.164,Text,GENDER,0,0,1,1,1,0,3,1,3
91,17,4.83,Text,GENDER,0,0,1,1,1,0,3,1,3
92,17,2.58,Text,GENDER,0,0,1,1,1,0,3,1,3
93,17,1.547,Text,GENDER,0,0,1,1,1,0,3,1,3
94,17,2.448,Text,GENDER,0,0,1,1,1,0,3,1,3
95,18,5.981,Text,GENDER,0,0,0,1,1,1,1,1,1
96,18,12.648,Text,GENDER,1,0,0,1,1,1,1,1,1
97,18,7.582,Text,GENDER,0,0,0,1,1,1,1,1,1
98,18,12.33,Text,GENDER,0,0,0,1,1,1,1,1,1
99,18,6.446,Text,GENDER,1,0,0,1,1,1,1,1,1
100,19,2.615,Text,GENDER,0,0,1,1,1,0,1,1,2
101,19,2.532,Text,GENDER,0,0,1,1,1,0,1,1,2
102,19,2.899,Text,GENDER,1,0,1,1,1,0,1,1,2
103,19,2.182,Text,GENDER,0,0,1,1,1,0,1,1,2
104,19,2.015,Text,GENDER,1,0,1,1,1,0,1,1,2
105,20,8.015,Text,GENDER,1,0,1,1,1,0,1,1,2
106,20,5.131,Text,GENDER,0,0,1,1,1,0,1,1,2
107,20,4.347,Text,GENDER,1,0,1,1,1,0,1,1,2
108,20,1.597,Text,GENDER,1,0,1,1,1,0,1,1,2
109,20,3.498,Text,GENDER,1,0,1,1,1,0,1,1,2
110,20,2.997,Text,GENDER,1,0,1,1,1,0,1,1,2
111,21,7.514,Text,GENDER,0,0,0,0,0,0,2,2,0
112,21,4.765,Text,GENDER,0,0,0,0,0,0,2,2,0
113,21,2.331,Text,GENDER,0,0,0,0,0,0,2,2,0
114,21,3.265,Text,GENDER,0,0,0,0,0,0,2,2,0
115,21,3.947,Text,GENDER,0,0,0,0,0,0,2,2,0
116,21,3.597,Text,GENDER,0,0,0,0,0,0,2,2,0
117,22,7.014,Text,GENDER,1,0,1,1,1,1,1,1,1
118,22,9.865,Text,GENDER,0,0,1,1,1,1,1,1,1
119,22,7.346,Text,GENDER,0,0,1,1,1,1,1,1,1
120,22,8.797,Text,GENDER,1,0,1,1,1,1,1,1,1
121,22,5.947,Text,GENDER,1,0,1,1,1,1,1,1,1
122,22,3.348,Text,GENDER,1,0,1,1,1,1,1,1,1
123,23,7.931,Text,GENDER,0,0,1,0,0,0,1,2,1
124,23,2.564,Text,GENDER,1,0,1,0,0,0,1,2,1
125,23,2.964,Text,GENDER,0,0,1,0,0,0,1,2,1
126,23,4.115,Text,GENDER,1,0,1,0,0,0,1,2,1
127,23,3.58,Text,GENDER,1,0,1,0,0,0,1,2,1
128,24,5.698,Text,GENDER,0,0,1,0,0,0,3,2,1
129,24,2.164,Text,GENDER,0,0,1,0,0,0,3,2,1
130,24,2.897,Text,GENDER,0,0,1,0,0,0,3,2,1
131,24,3.765,Text,GENDER,0,0,1,0,0,0,3,2,1
132,24,1.648,Text,GENDER,0,0,1,0,0,0,3,2,1
133,24,2.13,Text,GENDER,0,0,1,0,0,0,3,2,1
134,25,11.931,Text,GENDER,0,0,1,0,0,0,2,1,1
135,25,4.08,Text,GENDER,0,0,1,0,0,0,2,1,1
136,25,5.514,Text,GENDER,0,0,1,0,0,0,2,1,1
137,25,2.598,Text,GENDER,1,0,1,0,0,0,2,1,1
138,25,2.548,Text,GENDER,1,0,1,0,0,0,2,1,1
139,25,2.98,Text,GENDER,1,0,1,0,0,0,2,1,1
140,26,7.498,Text,GENDER,0,0,1,1,1,1,1,1,2
141,26,4.831,Text,GENDER,0,0,1,1,1,1,1,1,2
142,26,3.565,Text,GENDER,0,0,1,1,1,1,1,1,2
143,26,3.581,Text,GENDER,0,0,1,1,1,1,1,1,2
144,26,4.514,Text,GENDER,0,0,1,1,1,1,1,1,2
145,26,3.798,Text,GENDER,0,0,1,1,1,1,1,1,2
146,27,1.915,Text,GENDER,0,0,1,0,0,0,2,3,0
147,27,2.981,Text,GENDER,0,0,1,0,0,0,2,3,0
148,27,4.581,Text,GENDER,0,0,1,0,0,0,2,3,0
149,27,2.365,Text,GENDER,0,0,1,0,0,0,2,3,0
150,27,2.814,Text,GENDER,0,0,1,0,0,0,2,3,0
151,27,1.931,Text,GENDER,0,0,1,0,0,0,2,3,0
152,28,3.947,Text,GENDER,0,0,1,1,1,1,2,3,3
153,28,3.745,Text,GENDER,0,0,1,1,1,1,2,3,3
154,29,6.349,Text,GENDER,0,0,1,0,0,0,2,1,0
155,29,7.564,Text,GENDER,0,0,1,0,0,0,2,1,0
156,29,7.215,Text,GENDER,0,0,1,0,0,0,2,1,0
157,29,2.248,Text,GENDER,0,0,1,0,0,0,2,1,0
158,29,4.281,Text,GENDER,0,0,1,0,0,0,2,1,0
159,29,3.531,Text,GENDER,0,0,1,0,0,0,2,1,0
160,30,5.431,Text,GENDER,0,0,0,0,0,0,1,1,1
161,30,5.664,Text,GENDER,0,0,0,0,0,0,1,1,1
162,30,6.364,Text,GENDER,1,0,0,0,0,0,1,1,1
163,30,2.664,Text,GENDER,1,0,0,0,0,0,1,1,1
164,30,2.647,Text,GENDER,1,0,0,0,0,0,1,1,1
165,31,10.265,Text,GENDER,0,1,0,1,1,1,1,1,3
166,31,5.699,Text,GENDER,0,1,0,1,1,1,1,1,3
167,31,8.797,Text,GENDER,0,1,0,1,1,1,1,1,3
168,31,6.831,Text,GENDER,0,1,0,1,1,1,1,1,3
169,31,2.848,Text,GENDER,0,1,0,1,1,1,1,1,3
170,31,6.082,Text,GENDER,0,1,0,1,1,1,1,1,3
171,32,3.231,Text,GENDER,1,1,1,1,1,0,3,1,0
172,32,3.215,Text,GENDER,0,1,1,1,1,0,3,1,0
173,32,5.148,Text,GENDER,0,1,1,1,1,0,3,1,0
174,32,4.798,Text,GENDER,0,1,1,1,1,0,3,1,0
175,32,4.614,Text,GENDER,0,1,1,1,1,0,3,1,0
176,32,5.147,Text,GENDER,0,1,1,1,1,0,3,1,0
177,33,2.831,Text,GENDER,0,1,0,1,1,1,1,1,0
178,33,3.915,Text,GENDER,0,1,0,1,1,1,1,1,0
179,33,5.515,Text,GENDER,0,1,0,1,1,1,1,1,0
180,33,4.097,Text,GENDER,1,1,0,1,1,1,1,1,0
181,33,5.631,Text,GENDER,1,1,0,1,1,1,1,1,0
182,33,3.548,Text,GENDER,1,1,0,1,1,1,1,1,0
183,34,9.648,Text,GENDER,0,1,1,1,1,0,1,3,3
184,34,9.881,Text,GENDER,0,1,1,1,1,0,1,3,3
185,34,4.047,Text,GENDER,0,1,1,1,1,0,1,3,3
186,34,3.464,Text,GENDER,0,1,1,1,1,0,1,3,3
187,34,9.531,Text,GENDER,0,1,1,1,1,0,1,3,3
188,34,9.397,Text,GENDER,0,1,1,1,1,0,1,3,3
189,35,2.947,Text,GENDER,0,1,1,1,1,1,1,2,3
190,35,8.115,Text,GENDER,1,1,1,1,1,1,1,2,3
191,35,7.198,Text,GENDER,0,1,1,1,1,1,1,2,3
192,35,4.564,Text,GENDER,0,1,1,1,1,1,1,2,3
193,35,11.914,Text,GENDER,1,1,1,1,1,1,1,2,3
194,35,4.346,Text,GENDER,0,1,1,1,1,1,1,2,3
195,36,9.815,Text,GENDER,1,1,0,1,1,1,2,1,2
196,36,3.665,Text,GENDER,0,1,0,1,1,1,2,1,2
197,36,3.565,Text,GENDER,0,1,0,1,1,1,2,1,2
198,36,5.831,Text,GENDER,0,1,0,1,1,1,2,1,2
199,36,2.615,Text,GENDER,0,1,0,1,1,1,2,1,2
200,36,10.163,Text,GENDER,1,1,0,1,1,1,2,1,2
201,37,4.881,Text,GENDER,0,1,0,1,1,1,2,1,1
202,37,3.032,Text,GENDER,0,1,0,1,1,1,2,1,1
203,37,2.348,Text,GENDER,0,1,0,1,1,1,2,1,1
204,37,6.732,Text,GENDER,0,1,0,1,1,1,2,1,1
205,37,2.329,Text,GENDER,0,1,0,1,1,1,2,1,1
206,37,4.146,Text,GENDER,0,1,0,1,1,1,2,1,1
207,38,8.198,Text,GENDER,1,1,0,1,1,1,3,1,2
208,38,4.081,Text,GENDER,0,1,0,1,1,1,3,1,2
209,38,2.213,Text,GENDER,1,1,0,1,1,1,3,1,2
210,38,2.931,Text,GENDER,1,1,0,1,1,1,3,1,2
211,38,2.731,Text,GENDER,1,1,0,1,1,1,3,1,2
212,39,5.481,Text,GENDER,0,1,1,1,1,1,1,1,3
213,39,3.897,Text,GENDER,0,1,1,1,1,1,1,1,3
214,39,5.414,Text,GENDER,0,1,1,1,1,1,1,1,3
215,39,6.014,Text,GENDER,1,1,1,1,1,1,1,1,3
216,39,3.131,Text,GENDER,1,1,1,1,1,1,1,1,3
217,39,3.679,Text,GENDER,1,1,1,1,1,1,1,1,3
218,40,4.081,Text,GENDER,0,1,1,1,1,0,1,1,0
219,40,2.496,Text,GENDER,0,1,1,1,1,0,1,1,0
220,40,9.747,Text,GENDER,0,1,1,1,1,0,1,1,0
221,40,4.797,Text,GENDER,0,1,1,1,1,0,1,1,0
222,40,5.38,Text,GENDER,0,1,1,1,1,0,1,1,0
223,40,1.78,Text,GENDER,0,1,1,1,1,0,1,1,0
24,5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
24,5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
24,5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
24,5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
45,9,3.23,Text,GENDER,0,1,0,0,0,0,3,2,2
44,9,5.065,Text,GENDER,0,1,0,0,0,0,3,2,2
46,9,3.08,Text,GENDER,0,1,0,0,0,0,3,2,2
95,18,5.981,Text,GENDER,0,0,0,1,1,1,1,1,1
102,19,2.899,Text,GENDER,1,0,1,1,1,0,1,1,2
123,23,7.931,Text,GENDER,0,0,1,0,0,0,1,2,1
153,28,3.745,Text,GENDER,0,0,1,1,1,1,2,3,3
152,28,3.947,Text,GENDER,0,0,1,1,1,1,2,3,3
152,28,3.947,Text,GENDER,0,0,1,1,1,1,2,3,3
152,28,3.947,Text,GENDER,0,0,1,1,1,1,2,3,3
163,30,2.664,Text,GENDER,1,0,0,0,0,0,1,1,1
209,38,2.213,Text,GENDER,1,1,0,1,1,1,3,1,2
